dataset,instance,num_workers,num_tasks,delta,max_delta_index,algorithm_solution_set,deletion_solution_set,optimal_solution_set,algorithm_cost,deletion_cost,optimal_cost
20_tasks,instance22.csv,62,20,19,6,"[2, 3, 4, 5, 7, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 32, 36, 38, 39, 40, 44, 50, 51, 52, 57, 58, 59]","[2, 3, 4, 5, 7, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 32, 36, 38, 39, 40, 50, 51, 52, 57, 58, 59]","[4, 6, 10, 11, 15, 20, 21, 22, 27, 29, 32, 35, 36, 37, 38, 39, 50, 51, 52, 53, 54, 55, 57, 58, 59, 61, 62]",268,251,206.0
20_tasks,instance23.csv,61,20,16,5,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 28, 30, 31, 34, 35, 38, 39, 41, 42, 44, 46, 47, 48, 50, 52, 54, 58, 60]","[1, 2, 4, 5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 21, 31, 34, 38, 39, 41, 42, 44, 46, 47, 48, 50, 54, 58, 60]","[4, 5, 6, 8, 9, 17, 19, 28, 31, 34, 35, 36, 38, 39, 41, 43, 44, 45, 47, 50, 52, 54, 57, 58, 61]",280,232,184.0
20_tasks,instance24.csv,61,20,16,4,"[1, 2, 4, 5, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 26, 31, 33, 34, 41, 42, 43, 44, 46, 53, 59]","[1, 2, 4, 5, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20, 21, 23, 26, 33, 34, 42, 43, 46, 53]","[1, 4, 7, 9, 10, 12, 15, 16, 19, 21, 22, 23, 26, 33, 34, 42, 43, 46, 47, 51, 53]",249,225,196.0
20_tasks,instance25.csv,60,20,15,4,"[1, 2, 4, 5, 7, 8, 9, 11, 14, 18, 19, 20, 26, 32, 39, 46, 48, 53, 55, 56, 59]","[1, 2, 4, 5, 7, 8, 9, 11, 14, 18, 19, 26, 39, 46, 48, 53, 56, 59]","[2, 4, 8, 14, 18, 20, 26, 30, 32, 36, 39, 45, 46, 48, 53, 54, 59]",279,250,219.0
20_tasks,instance26.csv,63,20,17,14,"[1, 2, 3, 5, 7, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 27, 28, 30, 35, 36, 37, 38, 43, 45, 47, 53, 57, 59, 60, 61, 62]","[1, 2, 3, 7, 10, 11, 13, 14, 15, 16, 17, 18, 20, 24, 25, 27, 28, 30, 35, 38, 43, 47, 53, 57, 59, 60, 62]","[1, 2, 3, 5, 7, 14, 16, 17, 18, 21, 24, 25, 27, 28, 36, 37, 38, 39, 47, 50, 53, 59, 60, 61]",305,279,225.0
20_tasks,instance27.csv,63,20,22,6,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 27, 28, 36, 37, 41, 48, 49, 52, 58, 59, 60]","[1, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 27, 28, 37, 41, 48, 49, 52, 59, 60]","[1, 4, 6, 8, 9, 10, 11, 12, 14, 17, 21, 23, 28, 29, 32, 36, 37, 40, 41, 49, 52, 59, 63]",170,163,134.0
20_tasks,instance28.csv,60,20,17,15,"[1, 2, 4, 5, 7, 8, 9, 11, 13, 16, 17, 20, 24, 27, 28, 31, 33, 34, 40, 41, 44, 45, 48, 51, 57, 58]","[1, 2, 4, 5, 8, 9, 11, 13, 17, 20, 24, 28, 31, 33, 34, 40, 41, 44, 45, 48, 57, 58]","[2, 4, 7, 8, 9, 11, 17, 20, 24, 25, 27, 28, 30, 31, 33, 40, 41, 44, 45, 48, 54]",172,158,143.0
20_tasks,instance29.csv,62,20,20,15,"[1, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 31, 38, 42, 44, 45, 48, 49, 54, 56, 57, 61, 62]","[1, 4, 10, 13, 14, 15, 16, 17, 20, 21, 22, 31, 42, 44, 48, 49, 54, 57, 61, 62]","[4, 7, 8, 10, 11, 17, 19, 20, 22, 34, 37, 39, 41, 44, 47, 48, 49, 52, 53, 54, 56, 57, 62]",417,380,335.0
20_tasks,instance30.csv,63,20,20,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 28, 32, 53, 57, 62]","[1, 2, 3, 5, 6, 7, 8, 9, 10, 16, 18, 19, 28, 53, 57, 62]","[1, 3, 4, 16, 18, 22, 23, 28, 31, 47, 57, 61, 62]",171,143,129.0
20_tasks,instance31.csv,60,20,16,14,"[1, 2, 3, 5, 6, 7, 9, 11, 17, 18, 19, 20, 23, 25, 27, 28, 31, 32, 34, 36, 39, 41, 42, 47, 49, 50, 52, 54, 55, 56, 58, 59, 60]","[1, 2, 3, 7, 9, 11, 17, 18, 19, 20, 23, 25, 27, 31, 34, 36, 39, 41, 42, 47, 49, 52, 54, 58, 60]","[1, 3, 11, 17, 18, 23, 24, 25, 26, 27, 28, 30, 34, 35, 36, 39, 41, 42, 47, 49, 53, 54, 56, 58]",310,272,235.0
20_tasks,instance32.csv,61,20,16,8,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 20, 21, 22, 28, 29, 34, 38, 41, 42, 44, 45, 50, 54, 58, 60]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 20, 21, 22, 28, 29, 38, 41, 44, 45, 54, 58]","[3, 4, 5, 6, 7, 10, 19, 20, 21, 22, 25, 28, 29, 30, 31, 34, 38, 41, 44, 45, 46, 52, 54, 55, 56]",253,236,208.0
20_tasks,instance33.csv,61,20,24,8,"[1, 3, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 20, 22, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 41, 46, 48, 49, 52, 54, 55, 58, 59, 60]","[1, 3, 4, 5, 7, 8, 11, 13, 14, 15, 17, 18, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 41, 46, 48, 49, 52, 54, 55, 58, 59, 60]","[1, 3, 4, 5, 8, 15, 17, 18, 20, 21, 22, 26, 30, 31, 32, 35, 37, 38, 41, 44, 45, 47, 49, 52, 54, 55, 59, 60]",223,214,173.0
20_tasks,instance34.csv,63,20,23,8,"[1, 2, 3, 4, 5, 6, 8, 10, 16, 17, 20, 25, 26, 31, 32, 35, 37, 40, 42, 45]","[1, 2, 3, 4, 5, 6, 8, 17, 20, 25, 26, 31, 32, 35, 37, 40, 42, 45]","[1, 2, 6, 16, 24, 25, 26, 32, 36, 37, 40, 42, 45, 63]",213,200,150.0
20_tasks,instance35.csv,60,20,18,6,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 20, 30, 31, 32, 33, 34, 37, 39, 41, 44, 45, 46, 47, 50, 54, 56, 58]","[1, 2, 3, 4, 6, 9, 10, 11, 13, 14, 18, 20, 30, 31, 32, 33, 34, 37, 39, 41, 44, 47, 50, 54, 56, 58]","[1, 4, 6, 8, 9, 10, 13, 20, 21, 24, 31, 33, 34, 36, 37, 43, 44, 50, 52, 54, 56, 57, 58]",251,235,167.0
20_tasks,instance36.csv,61,20,17,4,"[3, 5, 6, 9, 10, 11, 13, 16, 18, 20, 22, 24, 28, 32, 39, 41, 49, 50, 51, 54, 55, 56, 57]","[3, 6, 9, 10, 11, 13, 16, 18, 20, 22, 24, 32, 39, 41, 49, 51, 54, 57]","[2, 3, 5, 7, 11, 13, 16, 18, 22, 25, 26, 27, 32, 37, 39, 49, 57]",367,317,235.0
20_tasks,instance37.csv,63,20,17,16,"[3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 22, 25, 26, 30, 36, 43, 44, 46, 47, 48, 50, 51, 55, 56, 57, 59, 61, 62]","[3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 17, 19, 20, 22, 25, 26, 36, 43, 44, 46, 47, 48, 51, 55, 56, 57, 59, 61, 62]","[3, 5, 6, 7, 8, 10, 12, 15, 17, 26, 27, 30, 33, 36, 41, 43, 46, 47, 50, 51, 55, 57, 59, 61, 63]",207,195,163.0
20_tasks,instance38.csv,62,20,19,6,"[2, 3, 4, 6, 7, 10, 12, 13, 14, 15, 16, 18, 19, 20, 29, 30, 41, 42, 50, 52, 53, 54, 62]","[2, 3, 4, 7, 10, 12, 14, 15, 16, 18, 19, 20, 30, 41, 52, 53, 54, 62]","[3, 4, 5, 7, 12, 13, 14, 19, 21, 26, 28, 29, 30, 40, 41, 42, 45, 46, 52, 53, 54, 62]",224,211,183.0
20_tasks,instance39.csv,63,20,17,5,"[2, 3, 6, 8, 10, 12, 13, 14, 16, 17, 18, 19, 28, 29, 32, 34, 35, 40, 47, 50, 52, 53, 54, 55, 56, 58, 59, 63]","[3, 6, 8, 10, 12, 13, 14, 17, 18, 19, 28, 29, 32, 34, 35, 47, 50, 53, 54, 55, 58, 59, 63]","[6, 8, 10, 11, 12, 17, 18, 19, 28, 34, 39, 40, 47, 50, 53, 54, 55, 58, 61, 63]",185,170,143.0
20_tasks,instance40.csv,60,20,15,7,"[1, 2, 4, 8, 9, 10, 11, 13, 16, 18, 20, 22, 31, 32, 33, 39, 40, 41, 43, 44, 46, 52, 58]","[1, 2, 8, 9, 10, 11, 13, 16, 18, 20, 31, 32, 39, 40, 41, 43, 44, 46, 52]","[9, 10, 16, 18, 20, 27, 28, 29, 31, 32, 34, 39, 40, 41, 43, 44, 46, 47, 48, 52, 53, 55, 58]",235,223,176.0
